Client_ID;Debt_capacity;Income;SMS_usage;Debt_1M;Min_callcenter;client_time;MB_usage;OTT_usage;Debt;APP_usage;VAS_usage;Min_In_3M;Avg_susp_time;Avg_days;Min_Out_3M;Churn
0;47.90308751;49.04782857;49.68919626;50.25970635;48.38479713;50.5742941;49.03475812;48.50600905;48.8337635;51.97917819;51.50463184;50.20512685;48.44352993;48.6987559;50.6935958;0
1;50.41456316;49.88448482;49.12642245;49.96879426;51.13265472;52.33280199;47.90156563;50.18749246;48.86455528;50.04616238;50.21903197;48.6869657;50.00586051;49.69296175;49.07432869;1
2;49.51607879;49.67415907;49.00816649;48.9943508;47.20682098;48.4823544;50.56110003;51.9763947;52.41136561;49.89734751;49.83424456;49.44175061;51.31829694;49.07738969;49.95072147;2
3;48.30441952;50.97149673;51.74667725;50.0740963;47.98093088;49.32180435;49.27971131;47.91631873;49.42718715;51.85493439;47.71976119;49.96670831;50.15964906;50.27191358;51.94308198;0
4;49.49311194;52.31341436;50.96269503;49.61987444;46.89278457;48.86747625;51.43019245;48.38567819;50.87977486;46.07970042;49.44730942;52.3339525;51.07008752;50.79555113;47.78084257;0
5;51.91888734;48.33744521;50.97363439;49.68732818;47.71602718;50.24961985;48.79637174;48.3911328;50.3354793;52.88710965;49.02563683;50.51978825;49.38237096;50.67603099;51.21803619;2
6;48.49301631;52.13279385;50.04915086;50.08863328;48.66797897;49.08327167;48.91062089;48.10559745;48.77224197;50.41077901;51.30667926;50.23823121;47.91643805;50.35687882;51.55707906;1
7;50.13537097;50.26676741;49.79804598;50.70516849;50.72730089;48.6464063;47.11383573;50.04871878;49.99168718;49.4796808;48.83411006;52.1954867;50.20478596;49.4069917;50.92082943;2
8;50.74045026;51.894376;51.17004729;50.96109053;50.38849243;48.40059051;48.80894948;48.48145509;50.80461509;53.00590767;50.71926228;49.01935614;51.48477481;50.17280652;54.20647153;0
9;51.6667086;50.25035124;50.30689724;49.53068398;47.55486199;47.98804356;52.07285109;50.94516705;50.28170468;52.47481618;49.14020615;47.86186958;51.00017676;48.33305918;52.40168496;2
10;50.8471623;50.37056069;49.71189441;51.07427256;50.53061675;50.60552576;49.07096473;51.64247201;50.03838634;49.4871017;49.55937197;48.47947707;50.40900943;50.64816527;49.50261916;1
11;49.92812775;50.01605277;49.70744722;50.79704926;50.77076018;50.31515052;53.40807759;48.31612785;49.634421;51.08195459;50.42442849;49.44959648;48.96560605;50.56405992;50.55691113;0
12;49.60454163;50.72151124;48.32478835;50.64290584;49.04951272;46.7923819;52.11609045;53.00748279;50.98479342;49.31448579;50.74378714;49.29385716;49.82507691;51.28942913;51.02497561;2
13;48.21236319;48.40925472;48.61023946;49.33229842;51.86209674;52.77705394;48.23167639;49.68074069;49.40671075;50.33957977;49.00555298;49.88292339;50.95294633;50.15256843;48.65274008;1
14;49.38481331;50.03254545;51.51628808;50.20393809;50.53251839;52.85812273;48.04880095;48.839659;49.69092496;50.37416312;51.26406922;48.87115137;49.88975991;49.49415195;49.00948673;1
15;51.42476953;47.69643571;50.01096565;51.22486698;48.89981183;53.77170245;51.76297948;50.48693082;51.12968528;51.11455342;50.67542136;46.98676666;50.57121258;50.92050191;47.40709092;1
16;49.7199451;51.41529547;51.21907206;50.61299556;49.87056976;50.46322183;50.81192256;50.19013119;49.45204649;49.41839769;50.07389273;48.32830764;50.62439522;49.25460929;49.67505431;1
17;51.18876454;46.97395648;51.137248;51.42655496;50.97667486;55.74774403;52.13345811;50.19111914;48.67277684;50.82730049;49.91678723;46.6218209;49.93225286;51.47980665;46.18119748;1
18;50.00736988;48.78475264;49.53752849;51.31194205;49.23263011;49.56573764;51.63578297;51.25691139;48.41205145;51.92293186;51.71901804;48.38398578;48.45793108;50.35186292;50.90324893;2
19;50.26374467;47.98842319;49.26494429;49.62834044;52.94062074;53.07075287;48.16754083;50.45635293;48.57796667;50.15270819;49.68741327;49.6736463;50.16565217;50.30679318;48.3722814;1
20;50.98999779;48.4056501;50.61411358;50.1465534;49.10818361;51.26798335;52.10350774;48.95507249;49.61648156;55.06267796;50.05305412;46.69875956;50.16026763;49.56105552;52.24437376;0
21;49.37733478;48.49981662;48.57215669;50.84757214;53.44462598;50.97926399;48.10920412;52.19585494;51.3717026;49.4241041;50.49851347;50.14923455;50.42364866;48.91566809;49.22633566;1
22;48.02397778;51.3687408;49.57009659;48.04584229;46.41581228;45.40300576;50.72282834;51.57008636;49.53295328;50.56631877;50.55529838;50.18338043;51.5558662;49.47259634;52.70795391;2
23;50.55781044;50.02284374;49.14822551;49.29803584;50.58414976;48.82860426;46.98038755;49.08038992;48.91458233;51.10262146;48.58457945;51.87246484;49.70738232;48.8431025;52.01192888;0
24;49.45731912;49.45562006;50.45227903;50.22755592;48.70171181;49.29390977;46.30950522;48.52022019;50.85929048;53.21049661;47.80871746;50.80273913;49.90111919;50.92275863;52.87228928;1
25;49.09535321;49.22030546;48.9246164;50.47156107;49.8693343;49.71667459;48.12806949;49.47721719;49.61008369;51.44139332;50.68397292;50.83040942;48.065135;50.55146521;51.18364322;0
26;50.76746946;50.83551218;50.61610854;50.01021974;48.77365543;49.84042724;50.79856488;49.0713919;51.14053891;51.89284558;50.42024033;48.31384943;51.19109759;50.40165892;51.56833297;0
27;48.99052371;50.85003504;51.16553461;49.34678856;51.6629065;49.84053413;48.89770438;50.14464674;50.11311902;49.42849731;50.35688042;50.21392739;52.58752049;48.62682525;50.40373115;1
28;49.12241042;49.34796824;49.1837157;50.7124459;49.55375833;48.43487341;50.87501394;51.37554919;50.66035544;49.34413294;49.40210224;50.95147823;50.26460958;50.85528292;49.91508009;2
29;50.10131815;48.35909993;50.05978353;49.04694122;53.35747887;52.99129855;46.85265858;48.40708197;50.15374848;52.78155354;50.50448877;49.57912739;51.55043719;48.33055327;50.90327378;0
30;48.74165059;47.10809576;48.25682092;47.37545089;51.46085432;54.20463141;49.73159971;48.89123338;49.61958182;50.83576298;49.25658843;49.67065398;48.88762029;50.20523829;47.5442285;1
31;47.72129697;48.8161036;50.45366146;50.68903056;48.68677729;50.35841256;51.7576412;51.14794317;48.63474557;52.32040931;50.90366907;47.35831719;49.76768108;49.75795128;50.64207997;2
32;50.0419565;49.0349971;50.17910501;49.42532547;52.76874348;55.03287969;48.72749198;48.19114219;50.6980054;50.09199152;51.22966263;48.81950885;50.24577733;49.7456993;47.59304317;1
33;47.87203015;48.27190827;50.92632985;50.26106366;50.16612626;49.7677107;48.65003828;50.05463442;48.61226878;50.45370624;51.0823883;51.81288116;50.32003361;49.98837759;50.02869089;2
34;49.54397121;51.47389438;51.46791955;49.42263627;49.3626059;50.57149205;50.18943766;49.70941547;50.84776747;49.54339482;50.06841898;48.60338932;51.59447827;50.58691286;49.71452814;0
35;50.67453253;50.29202878;52.18628421;50.73239772;50.05948273;50.05496318;48.45719581;51.41485835;49.59131074;49.79986481;49.0217386;49.08777394;51.06798558;50.56906953;50.012702;1
36;49.45254009;49.41747866;50.17764814;48.94346051;49.14156627;48.29835936;51.6284876;50.32798208;50.27041338;53.57772267;50.29912816;48.40153005;49.78235571;51.20097867;53.17235383;2
37;50.32487682;50.83324625;50.93552694;50.55839691;49.82779019;50.95487044;50.55578091;50.82717357;49.27383391;48.89652517;50.29862397;48.36950879;48.51332738;49.91766151;48.76131677;1
38;48.2010904;50.12750199;51.09787541;49.42131641;48.80818124;48.15856532;52.28289912;51.46152211;50.64330725;52.85150256;48.37371018;47.2201431;49.81849047;51.26731751;52.75564945;2
39;49.04865132;49.56935807;51.65085838;50.2655551;52.48972844;51.16165411;48.37025602;48.74327431;50.94277513;50.94344864;48.01335498;50.57509125;50.29455296;48.71474148;50.63805431;0
40;52.25327743;47.96435346;51.45441542;48.46780291;49.90314416;50.70736117;45.99321303;48.15719171;50.23239631;54.32221125;48.84715411;50.69588588;49.72484396;51.17390807;52.66646054;2
41;51.61315383;49.10278674;50.97834868;50.84293863;47.98272006;49.34636173;48.98753938;49.67013946;50.52566854;50.09637721;50.25059748;51.6008453;50.91752389;50.92262508;49.83780773;2
