I,Ip,theta,theta_p,theta_pp,u_a
0,254.4529262,0,0,0,1
0.000312715,254.027202,9.06E-13,2.21E-06,3.591373204,1
0.000624907,253.6021546,7.24E-12,8.83E-06,7.17272388,1
0.000936577,253.1777829,2.44E-11,1.99E-05,10.74407278,1
0.001247725,252.754086,5.79E-11,3.53E-05,14.30544063,1
0.001558352,252.3310628,1.13E-10,5.50E-05,17.8568481,1
0.00186846,251.9087123,1.95E-10,7.92E-05,21.39831582,1
0.002178048,251.4870335,3.10E-10,0.000107674,24.92986442,1
0.002487118,251.0660253,4.62E-10,0.000140504,28.45151444,1
0.002795671,250.6456867,6.57E-10,0.00017766,31.96328643,1
0.003103707,250.2260167,9.01E-10,0.00021913,35.46520086,1
0.003411227,249.8070142,1.20E-09,0.000264901,38.9572782,1
0.003718232,249.3886783,1.55E-09,0.000314961,42.43953886,1
0.004024723,248.9710079,1.97E-09,0.000369298,45.91200322,1
0.004330701,248.554002,2.46E-09,0.0004279,49.37469162,1
0.004636166,248.1376596,3.03E-09,0.000490756,52.82762436,1
0.00494112,247.7219797,3.67E-09,0.000557852,56.27082172,1
0.005245563,247.3069612,4.40E-09,0.000629178,59.70430392,1
0.005549495,246.8926032,5.22E-09,0.000704721,63.12809116,1
0.005852919,246.4789047,6.14E-09,0.000784469,66.5422036,1
0.006155834,246.0658646,7.15E-09,0.000868411,69.94666135,1
0.006458241,245.6534819,8.28E-09,0.000956534,73.3414845,1
0.006760142,245.2417557,9.51E-09,0.001048827,76.72669309,1
0.007061536,244.8306848,1.09E-08,0.001145278,80.10230714,1
0.007362425,244.4202684,1.23E-08,0.001245875,83.46834663,1
0.00766281,244.0105055,1.39E-08,0.001350606,86.82483148,1
0.007962691,243.6013949,1.57E-08,0.00145946,90.1717816,1
0.00826207,243.1929358,1.75E-08,0.001572424,93.50921685,1
0.008560946,242.7851271,1.95E-08,0.001689488,96.83715706,1
0.008859322,242.3779678,2.17E-08,0.00181064,100.155622,1
0.009157196,241.971457,2.40E-08,0.001935867,103.4646315,1
0.009454572,241.5655936,2.64E-08,0.002065159,106.7642052,1
0.009751448,241.1603767,2.91E-08,0.002198504,110.0543628,1
0.010047826,240.7558053,3.18E-08,0.002335889,113.335124,1
0.010343708,240.3518783,3.48E-08,0.002477304,116.6065084,1
0.010639092,239.9485949,3.79E-08,0.002622737,119.8685355,1
0.010933981,239.5459539,4.13E-08,0.002772177,123.1212249,1
0.011228376,239.1439545,4.48E-08,0.002925612,126.3645961,1
