I,Ip,theta,theta_p,theta_pp,u_a
0,254.4529262,0,0,0,1
0.000320463,254.016653,1.07E-12,2.37E-06,3.680258826,1
0.000674243,253.5349902,9.11E-12,9.14E-06,7.739354132,1
0.001202647,252.8155446,3.01E-11,2.37E-05,13.79799871,1
0.001607375,252.2644345,6.08E-11,4.16E-05,18.43236742,1
0.001852179,251.9309719,1.47E-10,6.72E-05,21.22208643,1
0.001934467,251.8188255,2.40E-10,8.27E-05,22.15356411,1
0.002750095,250.7080257,3.93E-10,0.00014089,31.47300615,1
0.00322301,250.0641843,5.53E-10,0.000147181,36.90151674,1
0.003096442,250.2362291,7.00E-10,0.000178961,35.41824105,1
0.003945633,249.0795466,9.59E-10,0.00026093,45.10170079,1
0.004193379,248.7419616,1.49E-09,0.000301068,47.91203734,1
0.004210318,248.7187434,2.00E-09,0.00032078,48.08876438,1
0.005300424,247.2340584,2.27E-09,0.00040768,60.53607016,1
0.005088717,247.5215253,2.89E-09,0.00049904,58.02031207,1
0.005301198,247.2313187,3.31E-09,0.000617332,60.35437496,1
0.005586366,246.8434475,4.31E-09,0.000575735,63.66902791,1
0.005687153,246.7048933,5.68E-09,0.000743778,64.67439035,1
0.006563598,245.5102335,6.67E-09,0.00093458,74.57209058,1
0.006612495,245.4430768,7.92E-09,0.001008309,75.06692947,1
0.006938781,244.9999151,7.69E-09,0.00088151,78.93152738,1
0.008260627,243.1992214,8.58E-09,0.001035027,93.98117704,1
0.007310462,244.4917699,1.21E-08,0.001151086,82.95740809,1
0.008592787,242.7436076,1.21E-08,0.001462409,97.40947036,1
0.008706677,242.5879284,1.45E-08,0.001541782,98.64601233,1
0.009059923,242.1062102,1.54E-08,0.001645767,102.6105993,1
0.00877725,242.4921251,2.05E-08,0.001508263,99.48743333,1
0.010399469,240.2804429,1.78E-08,0.001920881,117.7530986,1
0.011372505,238.9566004,2.08E-08,0.001824703,129.0215964,1
0.011376246,238.9469796,2.38E-08,0.002387769,128.5527104,1
0.011474538,238.8132849,2.87E-08,0.002373872,129.6948025,1
0.010738266,239.816911,3.20E-08,0.002209416,121.3838766,1
0.011781536,238.3935265,3.60E-08,0.002602035,133.0150713,1
