I,Ip,theta,theta_p,theta_pp,u_a
0,254.4529262,0,0,0,1
0.000340296,253.98965,1.66E-12,2.84E-06,3.907736199,1
0.001306533,252.6742383,2.67E-11,9.27E-06,15.00482431,1
0.00117816,252.8487393,7.50E-11,4.10E-05,13.50084574,1
0.004637164,248.1393715,1.24E-10,1.09E-04,53.18618572,1
0.005340929,247.1816704,4.07E-10,6.54E-05,61.31267265,1
0.005077326,247.5384652,2.22E-10,3.21E-04,58.05150365,1
0.003582797,249.573723,8.16E-10,0.000231186,40.95942354,1
0.007031203,244.8767427,1.79E-09,0.000552767,80.29239428,1
0.011287778,239.0839447,1.31E-09,0.000331797,129.4051985,1
0.003483609,249.705239,2.82E-09,0.00066774,39.42280232,1
0.004949456,247.7118912,3.67E-09,0.000401283,56.50894125,1
0.006880608,245.0803488,5.55E-09,0.000727042,78.40349782,1
0.006260426,245.9185296,5.35E-09,0.001484231,70.58868065,1
0.005725043,246.6487242,2.88E-09,0.001314355,64.59108065,1
0.015998812,232.6598903,1.28E-08,0.001676768,182.3165614,1
0.020451587,226.599884,1.20E-08,0.001470474,233.6705291,1
0.021932636,224.5808446,1.43E-08,0.001825267,250.3665916,1
0.013482304,236.0755671,2.24E-08,0.002933337,152.2572626,1
0.011786128,238.4011585,7.41E-09,0.000875331,134.637574,1
0.012998395,236.7395087,1.94E-08,0.002288484,147.2829381,1
0.015876328,232.8288188,3.37E-08,0.001404605,181.1565324,1
0.014706992,234.4095084,3.09E-08,0.002791889,166.4586298,1
0.022980579,223.1365339,2.70E-08,0.004029314,260.4047271,1
0.027403241,217.1270859,5.01E-08,0.002633278,312.4942658,1
0.032878532,209.6478096,3.62E-08,0.005821666,372.5117933,1
0.022810945,223.359598,3.64E-08,0.005007033,257.5666509,1
0.010952967,239.4995536,2.00E-08,0.005328446,121.0155107,1
0.025475716,219.723146,2.65E-08,0.006106182,287.1880626,1
0.028318675,215.8659124,3.95E-08,0.00449538,321.3206089,1
0.017532674,230.5213527,3.05E-08,0.007951921,194.2373389,1
0.038155918,202.4607337,7.31E-08,0.006175817,432.8318041,1
0.021449875,225.2105245,1.02E-07,0.005247009,241.7085597,1
