I,Ip,theta,theta_p,theta_pp,u_a
0,254.4529262,0,0,0,1
0.003103707,250.2260167,9.01E-10,2.19E-04,35.46520086,1
0.006155834,246.0658646,7.15E-09,8.68E-04,69.94666135,1
0.009157196,241.971457,2.40E-08,1.94E-03,103.4646315,1
0.012108597,237.9417957,5.64E-08,3.41E-03,136.0389949,1
0.015010826,233.9758972,1.09E-07,5.28E-03,167.6892747,1
0.017864662,230.0727924,1.88E-07,7.53E-03,198.4346399,1
0.02067087,226.2315265,2.96E-07,0.010156497,228.293911,1
0.023430207,222.4511586,4.39E-07,0.013143691,257.285566,1
0.026143415,218.7307616,6.21E-07,0.016482239,285.4277463,1
0.028811226,215.0694223,8.46E-07,0.020161804,312.7382622,1
0.031434361,211.4662408,1.12E-06,0.024172262,339.2345984,1
0.03401353,207.9203302,1.44E-06,0.028503707,364.9339197,1
0.036549432,204.4308169,1.82E-06,0.033146438,389.8530766,1
0.039042756,200.9968403,2.26E-06,0.038090962,414.0086099,1
0.041494179,197.6175521,2.76E-06,0.043327986,437.4167567,1
0.043904368,194.2921169,3.33E-06,0.048848415,460.0934551,1
0.046273982,191.0197114,3.96E-06,0.05464335,482.0543494,1
0.048603667,187.7995244,4.67E-06,0.060704081,503.3147951,1
0.050894061,184.6307568,5.46E-06,0.067022084,523.889864,1
0.053145792,181.5126214,6.32E-06,0.073589022,543.7943485,1
0.055359476,178.4443424,7.27E-06,0.080396735,563.0427669,1
0.057535724,175.4251556,8.30E-06,0.087437242,581.6493677,1
0.059675133,172.4543082,9.42E-06,0.094702736,599.6281345,1
0.061778295,169.5310582,1.06E-05,0.102185577,616.9927902,1
0.063845789,166.654675,1.19E-05,0.109878296,633.7568018,1
0.065878189,163.8244386,1.33E-05,0.117773586,649.9333846,1
0.067876057,161.0396397,1.48E-05,0.125864302,665.5355064,1
0.069839948,158.2995795,1.64E-05,0.134143456,680.5758918,1
0.071770407,155.6035696,1.81E-05,0.142604217,695.0670266,1
0.073667973,152.9509319,1.99E-05,0.151239903,709.0211617,1
0.075533175,150.3409983,2.19E-05,0.160043985,722.450317,1
0.077366534,147.7731104,2.39E-05,0.169010077,735.3662858,1
0.079168563,145.24662,2.60E-05,0.178131939,747.7806383,1
0.080939768,142.7608883,2.83E-05,0.187403471,759.7047255,1
0.082680646,140.315286,3.06E-05,0.196818711,771.1496832,1
0.084391686,137.9091932,3.31E-05,0.206371833,782.1264357,1
0.086073371,135.5419993,3.57E-05,0.216057145,792.6456991,1
0.087726176,133.2131027,3.84E-05,0.225869085,802.7179852,1
0.089350568,130.9219108,4.13E-05,0.235802217,812.3536053,1
0.090947008,128.6678399,4.42E-05,0.245851235,821.562673,1
0.092515947,126.4503149,4.73E-05,0.256010951,830.3551082,1
0.094057833,124.2687693,5.05E-05,0.266276302,838.7406402,1
0.095573104,122.1226453,5.39E-05,0.276642342,846.7288112,1
0.097062193,120.011393,5.73E-05,0.28710424,854.3289793,1
0.098525525,117.9344711,6.09E-05,0.297657281,861.5503221,1
0.099963519,115.8913462,6.46E-05,0.308296862,868.4018393,1
0.101376588,113.881493,6.85E-05,0.319018487,874.8923565,1
0.102765138,111.9043939,7.25E-05,0.329817769,881.0305275,1
0.104129569,109.9595393,7.66E-05,0.340690428,886.824838,1
0.105470273,108.046427,8.09E-05,0.351632284,892.2836081,1
0.106787639,106.1645625,8.53E-05,0.362639262,897.4149953,1
0.108082048,104.3134586,8.98E-05,0.373707384,902.2269976,1
0.109353874,102.4926354,9.45E-05,0.384832769,906.7274558,1
0.110603489,100.7016204,9.93E-05,0.396011633,910.9240568,1
0.111831254,98.93994806,1.04E-04,0.407240286,914.8243362,1
0.11303753,97.20715975,1.09E-04,0.418515127,918.4356805,1
0.114222667,95.50280388,1.14E-04,0.429832649,921.7653305,1
0.115387013,93.82643562,1.20E-04,0.441189429,924.8203832,1
0.11653091,92.17761681,1.25E-04,0.452582133,927.6077948,1
0.117654694,90.55591593,1.31E-04,0.464007511,930.134383,1
0.118758695,88.96090792,1.37E-04,0.475462397,932.4068295,1
0.11984324,87.39217417,1.43E-04,0.486943704,934.4316824,1
0.120908649,85.84930235,1.49E-04,0.498448427,936.2153585,1
0.121955237,84.33188639,1.55E-04,0.509973639,937.7641459,1
0.122983316,82.83952631,1.61E-04,0.521516488,939.0842061,1
0.123993191,81.3718282,1.68E-04,0.533074197,940.1815762,1
0.124985162,79.92840411,1.74E-04,0.544644066,941.0621713,1
0.125959527,78.50887195,1.81E-04,0.556223462,941.7317866,1
0.126916577,77.11285539,1.88E-04,0.567809826,942.1960996,1
0.127856599,75.73998384,1.95E-04,0.579400667,942.4606721,1
0.128779874,74.38989229,2.02E-04,0.590993562,942.5309524,1
0.129686682,73.06222127,2.10E-04,0.602586154,942.4122774,1
0.130577295,71.75661677,2.17E-04,0.61417615,942.1098744,1
0.131451984,70.47273015,2.25E-04,0.625761324,941.6288631,1
0.132311012,69.21021805,2.33E-04,0.637339509,940.974258,1
0.133154641,67.96874233,2.40E-04,0.648908599,940.1509696,1
0.133983128,66.74797,2.49E-04,0.660466551,939.1638067,1
0.134796725,65.54757312,2.57E-04,0.672011376,938.0174783,1
0.135595681,64.36722873,2.65E-04,0.683541147,936.7165953,1
0.13638024,63.20661881,2.74E-04,0.69505399,935.2656721,1
0.137150643,62.06543017,2.82E-04,0.706548086,933.6691288,1
0.137907128,60.94335438,2.91E-04,0.718021671,931.9312924,1
0.138649927,59.84008772,3.00E-04,0.729473033,930.056399,1
0.13937927,58.75533112,3.09E-04,0.740900513,928.0485952,1
0.140095382,57.68879005,3.18E-04,0.752302501,925.9119395,1
0.140798487,56.64017449,3.27E-04,0.763677435,923.6504046,1
0.141488803,55.60919883,3.37E-04,0.775023805,921.2678783,1
0.142166545,54.59558186,3.46E-04,0.786340144,918.7681655,1
0.142831924,53.59904664,3.56E-04,0.797625036,916.1549894,1
0.14348515,52.61932047,3.66E-04,0.808877107,913.4319933,1
0.144126428,51.65613485,3.76E-04,0.820095028,910.6027419,1
0.144755958,50.70922537,3.86E-04,0.831277513,907.6707229,1
0.14537394,49.77833167,3.97E-04,0.84242332,904.6393482,1
0.145980569,48.8631974,4.07E-04,0.853531247,901.5119556,1
0.146576038,47.96357013,4.18E-04,0.864600134,898.2918099,1
0.147160536,47.0792013,4.28E-04,0.875628859,894.9821044,1
0.147734248,46.20984619,4.39E-04,0.886616339,891.5859625,1
0.148297359,45.35526381,4.50E-04,0.897561531,888.1064382,1
0.148850047,44.5152169,4.61E-04,0.908463428,884.5465185,1
0.149392492,43.68947184,4.72E-04,0.919321058,880.9091237,1
0.149924866,42.8777986,4.84E-04,0.930133487,877.1971093,1
0.150447342,42.07997071,4.95E-04,0.940899813,873.4132668,1
0.150960089,41.29576518,5.07E-04,0.95161917,869.560325,1
0.151463273,40.52496246,5.19E-04,0.962290724,865.6409516,1
0.151957057,39.76734637,5.31E-04,0.972913675,861.6577537,1
0.152441603,39.02270409,5.43E-04,0.983487254,857.6132794,1
0.152917068,38.29082609,5.55E-04,0.994010721,853.5100188,1
0.153383609,37.57150605,5.67E-04,1.004483369,849.3504049,1
0.153841378,36.86454086,5.79E-04,1.01490452,845.1368151,1
0.154290526,36.16973055,5.92E-04,1.025273523,840.871572,1
0.154731202,35.48687825,6.05E-04,1.035589758,836.5569444,1
0.155163552,34.81579012,6.17E-04,1.04585263,832.1951484,1
0.155587718,34.15627535,6.30E-04,1.056061574,827.7883486,1
0.156003843,33.50814607,6.43E-04,1.066216048,823.3386588,1
0.156412064,32.87121732,6.57E-04,1.076315538,818.848143,1
0.15681252,32.24530704,6.70E-04,1.086359553,814.3188166,1
0.157205343,31.63023597,6.83E-04,1.096347629,809.7526472,1
0.157590667,31.02582764,6.97E-04,1.106279325,805.1515555,1
0.157968622,30.43190834,7.11E-04,1.116154222,800.5174161,1
0.158339335,29.84830705,7.24E-04,1.125971926,795.8520587,1
0.158702932,29.2748554,7.38E-04,1.135732062,791.1572688,1
0.159059537,28.71138767,7.52E-04,1.145434281,786.4347885,1
0.159409272,28.15774071,7.66E-04,1.155078251,781.6863174,1
0.159752257,27.61375391,7.81E-04,1.164663665,776.9135135,1
0.16008861,27.07926918,7.95E-04,1.174190231,772.117994,1
0.160418445,26.55413088,8.10E-04,1.183657681,767.3013359,1
0.160741879,26.03818581,8.24E-04,1.193065763,762.4650772,1
0.161059022,25.53128317,8.39E-04,1.202414247,757.6107173,1
0.161369985,25.03327452,8.54E-04,1.211702919,752.7397179,1
0.161674876,24.54401372,8.69E-04,1.220931582,747.8535038,1
0.161973803,24.06335696,8.84E-04,1.230100058,742.9534636,1
0.16226687,23.59116265,8.99E-04,1.239208186,738.0409502,1
0.16255418,23.12729143,9.14E-04,1.24825582,733.1172819,1
0.162835834,22.67160612,9.30E-04,1.257242831,728.1837429,1
0.163111934,22.22397171,9.45E-04,1.266169105,723.2415841,1
0.163382577,21.7842553,9.61E-04,1.275034543,718.2920233,1
0.163647859,21.35232608,9.77E-04,1.283839063,713.3362466,1
0.163907875,20.9280553,9.92E-04,1.292582594,708.3754084,1
0.16416272,20.51131622,1.01E-03,1.301265082,703.4106326,1
0.164412484,20.10198412,1.02E-03,1.309886484,698.4430127,1
0.164657258,19.69993624,1.04E-03,1.318446773,693.4736126,1
0.164897132,19.30505173,1.06E-03,1.326945932,688.5034676,1
0.165132192,18.91721169,1.07E-03,1.335383959,683.5335842,1
0.165362524,18.53629906,1.09E-03,1.343760863,678.5649414,1
0.165588212,18.16219864,1.11E-03,1.352076666,673.5984909,1
0.165809341,17.79479707,1.12E-03,1.360331399,668.6351579,1
0.166025991,17.43398275,1.14E-03,1.368525107,663.6758413,1
0.166238244,17.07964586,1.16E-03,1.376657845,658.7214145,1
0.166446177,16.73167834,1.17E-03,1.384729677,653.772726,1
0.166649869,16.38997381,1.19E-03,1.392740681,648.8305996,1
0.166849395,16.05442759,1.21E-03,1.40069094,643.8958353,1
0.167044832,15.72493667,1.23E-03,1.408580551,638.9692095,1
0.167236253,15.40139966,1.24E-03,1.416409619,634.0514755,1
0.167423731,15.08371679,1.26E-03,1.424178257,629.1433644,1
0.167607336,14.77178987,1.28E-03,1.431886588,624.245585,1
0.16778714,14.46552229,1.30E-03,1.439534744,619.3588245,1
0.167963211,14.16481895,1.31E-03,1.447122863,614.4837493,1
0.168135617,13.86958628,1.33E-03,1.454651095,609.6210047,1
0.168304425,13.57973221,1.35E-03,1.462119593,604.7712161,1
0.1684697,13.29516612,1.37E-03,1.469528522,599.934989,1
0.168631507,13.01579884,1.38E-03,1.476878052,595.1129096,1
0.16878991,12.74154264,1.40E-03,1.48416836,590.305545,1
0.16894497,12.47231117,1.42E-03,1.491399631,585.5134438,1
0.169096749,12.20801948,1.44E-03,1.498572055,580.7371366,1
0.169245307,11.94858397,1.46E-03,1.505685831,575.9771362,1
0.169390704,11.69392238,1.48E-03,1.512741162,571.233938,1
0.169532997,11.44395376,1.50E-03,1.519738257,566.5080203,1
