I,Ip,theta,theta_p,theta_pp,u_a
0,254.4529262,0,0,0,1
0.004107429,248.8594276,1.13E-09,2.44E-04,46.97642181,1
0.007496533,244.2398421,8.57E-09,9.80E-04,85.25104628,1
0.010740484,239.8136204,2.48E-08,2.24E-03,121.3786953,1
0.013339625,236.2578861,6.36E-08,4.41E-03,149.2707915,1
0.018796503,228.8153599,1.25E-07,6.15E-03,210.3978385,1
0.018959437,228.5683418,2.34E-07,9.29E-03,209.4196208,1
0.026792537,217.8734628,3.70E-07,0.013203021,295.867866,1
0.030951212,212.1873424,5.26E-07,0.016289884,340.8485768,1
0.031162459,211.8880709,7.31E-07,0.017744398,341.9537182,1
0.038252277,202.1761006,8.66E-07,0.025260772,416.589105,1
0.040604434,198.9583486,1.31E-06,0.027214114,441.8417603,1
0.034350745,207.417822,1.56E-06,0.033907378,363.8963996,1
0.048239206,188.4730902,2.06E-06,0.038639358,519.1856414,1
0.050324251,185.6070969,2.97E-06,0.042068586,540.0272217,1
0.04842396,188.1053192,3.27E-06,0.053098456,508.1639952,1
0.051894665,183.4020372,4.22E-06,0.050428353,550.4729213,1
0.056561242,176.9855134,4.11E-06,0.058363588,596.8822788,1
0.064511418,166.0208784,5.43E-06,0.076008211,672.1964704,1
0.060042236,172.1261068,6.40E-06,0.073368353,623.2413675,1
0.062157523,169.0793934,7.55E-06,0.094152986,628.6528252,1
0.065496185,164.5307355,9.24E-06,0.094608255,666.6032008,1
0.065145589,164.8560822,9.44E-06,0.113503008,645.3974894,1
0.071339997,156.4508583,1.22E-05,0.110099506,719.6709564,1
0.070691757,157.3565071,1.26E-05,0.107216057,714.8434098,1
0.084612105,138.220093,1.48E-05,0.13038836,853.7351349,1
0.075941598,149.8774689,1.65E-05,0.14854427,737.5977509,1
0.071141467,156.4266362,1.76E-05,0.146723799,684.0948559,1
0.077066295,148.1571581,1.79E-05,0.172078862,729.1264571,1
0.090274248,130.2205605,1.90E-05,0.16664458,885.8381085,1
0.090130475,130.2310926,2.00E-05,0.189676061,863.2483143,1
0.099320818,117.8189815,2.76E-05,0.177374297,980.0371262,1
0.093222032,125.8407036,2.76E-05,0.212283595,878.2208133,1
0.096365761,121.7860839,3.42E-05,0.184299651,939.7850617,1
0.098821613,118.3894023,3.58E-05,0.190949918,961.959341,1
0.083480098,139.081255,3.95E-05,0.214941196,763.8611339,1
0.097560325,119.9510731,3.99E-05,0.210270305,929.9020073,1
0.093522423,124.9762756,4.62E-05,0.268932657,830.1734311,1
0.092809627,125.99081,4.56E-05,0.263437127,826.9786868,1
0.115630904,94.59473321,5.48E-05,0.304346964,1052.025143,1
0.108218481,104.6075342,5.42E-05,0.314035275,958.0421186,1
0.102064074,113.3093503,6.07E-05,0.273780235,923.9178769,1
0.096977788,119.6582065,5.43E-05,0.34531905,800.4365378,1
0.119847087,88.38787544,5.68E-05,0.362459884,1047.643,1
0.122988485,84.17337685,6.98E-05,0.354754327,1090.745561,1
0.101360618,113.8761665,6.38E-05,0.322384852,871.6485043,1
0.109982255,102.1780161,7.02E-05,0.317573751,975.0926883,1
0.125595774,80.38612253,7.09E-05,0.384340066,1093.809564,1
0.133659474,69.18822429,8.19E-05,0.411775159,1161.527806,1
0.105313385,108.3108719,7.82E-05,0.345305833,896.2321375,1
0.139189982,61.37454504,9.82E-05,0.447203541,1192.870761,1
0.131854347,71.49912316,8.89E-05,0.4299901,1124.226228,1
0.113955759,95.9888058,1.10E-04,0.414578583,932.565645,1
0.132612166,70.33258757,1.04E-04,0.446767173,1117.682369,1
0.128215746,75.76933496,1.02E-04,0.514945372,1005.183322,1
0.13281322,69.29723898,1.19E-04,0.541491281,1033.879835,1
0.117412091,91.04276151,1.21E-04,0.444533564,945.0502419,1
0.118576109,88.73410427,1.38E-04,0.534581938,876.5637044,1
0.128669324,74.84452244,1.52E-04,0.553169044,975.6465595,1
0.143255402,54.93921186,1.55E-04,0.559256228,1137.720048,1
0.135806604,64.64605393,1.64E-04,0.613154279,1003.128363,1
0.157427618,35.70959091,1.71E-04,0.551378131,1307.733606,1
